age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
46,management,married,tertiary,no,37378,yes,no,cellular,14,oct,146,1,518,1,failure,no
38,blue-collar,single,secondary,no,519,yes,yes,unknown,18,jun,13,14,-1,0,unknown,no
41,technician,divorced,secondary,no,1545,no,yes,cellular,13,aug,183,2,-1,0,unknown,no
60,management,married,tertiary,no,2222,yes,no,cellular,11,jul,1120,2,-1,0,unknown,yes
45,management,married,tertiary,no,726,yes,yes,cellular,18,jul,199,1,-1,0,unknown,no
87,retired,divorced,primary,no,6746,no,no,telephone,21,oct,749,1,-1,0,unknown,yes
22,blue-collar,single,secondary,no,0,yes,no,unknown,19,may,123,1,-1,0,unknown,no
32,management,single,tertiary,no,0,yes,no,cellular,30,apr,370,3,-1,0,unknown,yes
38,technician,married,secondary,no,0,yes,no,cellular,22,apr,315,1,-1,0,unknown,yes
31,technician,single,tertiary,no,454,no,no,cellular,4,feb,73,3,-1,0,unknown,no
38,admin.,married,secondary,no,0,yes,no,cellular,8,jun,187,1,181,2,success,yes
83,retired,married,primary,no,425,no,no,telephone,22,jun,883,1,140,1,failure,yes
52,technician,married,secondary,no,1818,no,yes,cellular,17,nov,189,2,111,4,failure,no
39,technician,single,tertiary,no,-41,no,yes,cellular,25,aug,40,15,-1,0,unknown,no
32,management,single,tertiary,no,470,no,no,cellular,19,aug,286,2,-1,0,unknown,no
53,services,married,secondary,no,33,yes,no,unknown,19,may,84,12,-1,0,unknown,no
43,management,divorced,tertiary,no,36,no,no,cellular,26,may,118,1,102,2,failure,no
54,management,married,tertiary,no,2960,yes,no,cellular,13,feb,94,9,85,1,failure,no
61,retired,divorced,secondary,no,410,no,yes,cellular,31,jul,470,4,-1,0,unknown,no
58,management,divorced,secondary,no,10180,no,no,cellular,3,mar,180,2,-1,0,unknown,yes
48,management,married,tertiary,no,0,no,no,cellular,28,aug,16,16,-1,0,unknown,no
22,management,single,tertiary,no,374,yes,no,cellular,13,may,158,5,-1,0,unknown,no
